Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Jason Siska,2.41,6.05,0.4,0,1,8,46,5,0.17,0.47,3,0,8,0,0.56,2.88,30,8,4,0,0,4,1,4,1,16,6,3,8,6,14,9,0.642857143,6
Ozzy Lusth,0.89,4.8,0.19,0,7,9,64,8,0.86,1.88,4,0,8,0,1.04,2.77,27,9,1,0,0,3,0,3,0,16,6,4,7,2,13,6,0.461538462,3
Yau-Man Chan,1.22,1.43,0.85,0,1,6,19,2,0.34,1.4,1,0,8,0,1.19,2.62,8,18,1,0,0,1,1,1,1,16,1,1,3,1,4,2,0.5,0
James Clement*,1.42,7.05,0.2,0,3,3,46,5,0.47,1,4,0,8,0,0.67,2.42,31,7,2,1,0,4,0,5,0,16,6,4,8,6,14,10,0.714285714,0
Tracy Hughes-Wolf,0.38,2.55,0.15,1,3,7,40,5,0.57,1.53,3,0,8,0,0.71,1.91,20,12,2,0,0,1,0,1,0,16,5,1,7,2,12,3,0.25,2
Jonathan Penner*,0.87,2.08,0.42,0,1,0,19,2,0.23,0.78,2,0,8,0,0.65,1.64,15,15,1,0,0,1,0,1,0,16,4,4,5,3,9,7,0.777777778,0
Chet Welch,0.21,2.22,0.1,1,3,12,34,4,0.66,1.31,0,0,8,0,0.76,1.52,17,14,1,0,0,1,0,1,0,16,4,0,6,2,10,2,0.2,2
Joel Anderson,0.21,1.93,0.11,0,1,6,27,3,0.26,0.93,2,0,8,0,0.37,1.14,14,16,2,0,0,1,0,1,0,16,3,0,5,2,8,2,0.25,0
Mikey Bortone,0.21,1.68,0.13,0,0,6,19,2,-0.16,0,1,0,8,0,-0.03,0.21,11,17,2,0,0,1,0,1,0,16,2,0,4,2,6,2,0.333333333,0
Mary Sartain,0.1,1.21,0.08,0,0,6,10,1,-0.6,0,0,0,8,0,-0.52,0.1,6,19,1,0,0,1,0,1,0,16,0,0,2,1,2,1,0.5,0
Jonny Fairplay,0,1.1,0,0,0,9,10,1,-0.9,0,0,0,8,0,-0.9,0,3,20,1,0,0,1,0,1,0,16,0,0,1,0,1,0,0,0
Sandra Diaz-Twine,0.69,11.56,0.06,6,9,1,89,12,0.75,4.2,10,6,9,0.67,1.48,8.89,39,1,3,1,0,8,0,9,0,20,7,2,8,3,15,5,0.333333333,0
Parvati Shallow,3.71,11.56,0.32,3,10,4,89,12,0.83,2.92,9,3,9,0.33,1.48,8.63,39,2,2,1,0,8,3,9,3,20,7,1,8,4,15,5,0.333333333,0
