Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Place,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile
Kathy Vavrick-O'Brien,1.81,4.81,0.38,0,3,6,34,5,0.56,1.68,4,0,7,0,0.94,3.49,28,8,2,1,0,1,1,2,1,8,7,2.5,7,1.5,14,4,0.14,0
Jerri Manthey,0.74,2.64,0.28,0,5,7,33,6,0.8,2.12,3,0,7,0,1.08,2.86,24,10,1,0,0,0,0,0,0,8,6,2.5,7,1,13,3.5,0.15,0
Lex Van den Berghe,0.81,4.56,0.18,0,4,7,31,5,0.75,2.04,4,0,7,0,0.98,2.84,27,9,1,1,0,1,0,2,0,8,6,2.5,7,1.5,13,4,0.23,0
Colby Donaldson,0.81,1.96,0.41,1,1,4,12,2,0.33,1.75,0,0,7,0,0.75,2.56,19,12,1,0,0,0,0,0,0,8,6,2.5,6,1.5,12,4,0.25,0
Rudy Boesch,0.2,0.57,0.35,0,1,3,11,2,0.36,2,1,0,7,0,0.72,2.2,6,17,1,0,0,0,0,0,0,8,1,1,2,0,3,1,0.17,0
Sue Hawk*,0.8,1.63,0.49,1,1,0,6,1,0.23,1.27,1,0,7,0,0.72,2.07,17,13,0,0,0,0,0,0,0,8,5,1.5,4,3,9,4.5,0.44,0
Ethan Zohn,0.74,2.44,0.3,0,2,6,28,5,0.36,1.12,3,0,7,0,0.66,1.86,21,11,3,0,0,0,0,0,0,8,6,2.5,6,1,12,3.5,0.13,0
Rob Cesternino,0.78,1.23,0.64,1,0,5,6,1,-0.83,0,0,0,7,0,-0.2,0.78,12,15,1,0,0,0,0,0,0,8,3,2,3,2,6,4,0.67,0
Richard Hatch,0.64,1.63,0.39,0,0,6,7,1,-0.86,0,0,0,7,0,-0.46,0.64,15,14,1,0,0,0,0,0,0,8,4,1.5,4,1.5,8,3,0,0
Jenna Morasca*,0.27,0.73,0.36,1,0,0,0,0,-1,0,0,0,7,0,-0.64,0.27,9,16,0,0,0,0,0,0,0,8,2,0.5,2,1,4,1.5,0.33,0
Tina Wesson,0,0.17,0,0,0,4,6,1,-0.67,0,0,0,7,0,-0.67,0,3,18,1,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0
Amanda Kimmel,2.89,12.05,0.24,0,12,0,86,13,0.92,6.46,12,3,8,0.375,1.54,11.6,39,2,1,2,0,8,2,10,2,16,6,4,8,2,14,6,0.428571429,2
Parvati Shallow,2.17,12.05,0.18,1,9,4,60,9,0.99,3.5,5,5,8,0.625,1.8,9.42,39,1,0,2,0,8,1,10,1,16,6,4,8,5,14,9,0.642857143,2
